price,export,update_date
26.0,231.7356914,2020-11-17
28.0,231.7356914,2020-11-18
28.0,231.7356914,2020-11-19
28.0,231.7356914,2020-11-20
28.0,231.7356914,2020-11-21
28.0,231.7356914,2020-11-22
28.0,231.7356914,2020-11-23
28.0,231.7356914,2020-11-25
28.0,231.7356914,2020-11-26
28.0,231.7356914,2020-11-27
28.0,231.7356914,2020-11-28
28.0,231.7356914,2020-11-29
28.0,231.7356914,2020-11-30
28.0,231.7356914,2020-12-01
28.0,231.7356914,2020-12-02
29.0,231.7356914,2020-12-03
29.0,231.7356914,2020-12-04
29.0,231.7356914,2020-12-05
29.0,231.7356914,2020-12-06
29.0,231.7356914,2020-12-07
29.0,231.7356914,2020-12-08
30.0,231.7356914,2020-12-10
30.0,231.7356914,2020-12-12
31.0,231.7356914,2020-12-13
31.0,231.7356914,2020-12-14
31.0,231.7356914,2020-12-17
31.0,231.7356914,2020-12-18
31.0,231.7356914,2020-12-19
31.0,231.7356914,2020-12-21
31.0,231.7356914,2020-12-22
31.0,231.7356914,2020-12-23
31.0,231.7356914,2020-12-24
31.0,231.7356914,2020-12-27
31.0,231.7356914,2020-12-28
31.0,231.7356914,2020-12-29
31.0,296.2903748,2021-01-03
31.0,296.2903748,2021-01-04
31.0,296.2903748,2021-01-05
31.0,296.2903748,2021-01-06
31.0,296.2903748,2021-01-07
31.0,296.2903748,2021-01-08
31.0,296.2903748,2021-01-11
31.0,296.2903748,2021-01-12
31.0,296.2903748,2021-01-13
31.0,296.2903748,2021-01-14
31.0,296.2903748,2021-01-16
31.0,296.2903748,2021-01-18
31.0,296.2903748,2021-01-22
31.0,296.2903748,2021-01-24
31.0,296.2903748,2021-01-26
31.0,296.2903748,2021-01-27
31.0,296.2903748,2021-01-28
31.0,296.2903748,2021-01-29
31.0,296.2903748,2021-01-30
30.0,296.2903748,2021-01-31
30.0,296.2903748,2021-02-01
30.0,296.2903748,2021-02-02
30.0,296.2903748,2021-02-03
30.0,296.2903748,2021-02-04
30.0,296.2903748,2021-02-06
30.0,296.2903748,2021-02-08
30.0,296.2903748,2021-02-09
30.0,296.2903748,2021-02-10
30.0,296.2903748,2021-02-11
30.0,296.2903748,2021-02-14
30.0,296.2903748,2021-02-15
30.0,296.2903748,2021-02-16
30.0,296.2903748,2021-02-17
30.0,296.2903748,2021-02-18
30.0,296.2903748,2021-02-19
30.0,296.2903748,2021-02-20
30.0,296.2903748,2021-02-23
31.0,296.2903748,2021-02-24
31.0,296.2903748,2021-02-26
34.0,296.2903748,2021-02-27
34.0,296.2903748,2021-03-02
35.0,296.2903748,2021-03-04
35.0,296.2903748,2021-03-05
35.0,296.2903748,2021-03-06
35.0,296.2903748,2021-03-08
35.0,296.2903748,2021-03-09
35.0,296.2903748,2021-03-10
35.0,296.2903748,2021-03-11
35.0,296.2903748,2021-03-12
