Price,Date
53.0,2021-06-12
53.0,2021-06-15
53.0,2021-06-16
53.0,2021-06-17
52.0,2021-06-18
52.0,2021-06-19
51.0,2021-06-21
51.0,2021-06-23
51.0,2021-06-24
51.0,2021-06-25
51.0,2021-06-26
51.0,2021-06-28
51.0,2021-06-29
51.0,2021-06-30
51.0,2021-07-01
51.0,2021-07-02
51.0,2021-07-03
51.0,2021-07-04
51.0,2021-07-06
51.0,2021-07-07
51.0,2021-07-08
51.0,2021-07-10
52.0,2021-07-11
52.0,2021-07-12
52.0,2021-07-13
52.0,2021-07-14
52.0,2021-07-15
52.0,2021-07-16
52.0,2021-07-17
52.0,2021-07-18
52.0,2021-07-20
52.0,2021-07-21
52.0,2021-07-22
53.0,2021-07-23
53.0,2021-07-25
53.0,2021-07-26
53.0,2021-07-28
53.0,2021-07-29
53.0,2021-07-30
53.0,2021-07-31
53.0,2021-08-01
53.0,2021-08-02
53.0,2021-08-03
53.0,2021-08-04
53.0,2021-08-05
53.0,2021-08-07
53.0,2021-08-08
53.0,2021-08-09
53.0,2021-08-10
53.0,2021-08-11
53.0,2021-08-12
53.0,2021-08-13
53.0,2021-08-14
53.0,2021-08-15
56.0,2021-08-16
56.0,2021-08-17
56.0,2021-08-18
56.0,2021-08-19
56.0,2021-08-20
56.0,2021-08-21
56.0,2021-08-23
57.0,2021-08-24
57.0,2021-08-25
57.0,2021-08-26
57.0,2021-08-27
57.0,2021-08-30
57.0,2021-08-31
57.0,2021-09-01
57.0,2021-09-02
57.0,2021-09-03
58.0,2021-09-04
58.0,2021-09-06
58.0,2021-09-07
58.0,2021-09-08
58.0,2021-09-09
58.0,2021-09-10
58.0,2021-09-11
58.0,2021-09-12
61.0,2021-09-13
61.0,2021-09-15
61.0,2021-09-16
62.0,2021-09-17
66.0,2021-09-18
66.0,2021-09-20
66.0,2021-09-21
66.0,2021-09-22
66.0,2021-09-23
66.0,2021-09-24
66.0,2021-09-25
66.0,2021-09-26
66.0,2021-09-27
66.0,2021-09-30
66.0,2021-10-01
66.0,2021-10-03
69.0,2021-10-04
69.0,2021-10-06
69.0,2021-10-07
69.0,2021-10-08
69.0,2021-10-10
69.0,2021-10-12
74.0,2021-10-13
74.0,2021-10-14
74.0,2021-10-15
74.0,2021-10-16
79.0,2021-10-17
79.0,2021-10-18
79.0,2021-10-19
79.0,2021-10-20
79.0,2021-10-21
81.0,2021-10-22
81.0,2021-10-23
81.0,2021-10-24
81.0,2021-10-25
81.0,2021-10-26
81.0,2021-10-27
79.0,2021-10-28
78.0,2021-10-31
76.0,2021-11-01
76.0,2021-11-02
76.0,2021-11-03
76.0,2021-11-04
73.0,2021-11-05
73.0,2021-11-06
73.0,2021-11-07
73.0,2021-11-08
68.0,2021-11-09
68.0,2021-11-10
68.0,2021-11-11
73.0,2021-11-12
73.0,2021-11-13
73.0,2021-11-14
73.0,2021-11-15
71.0,2021-11-16
70.0,2021-11-17
70.0,2021-11-18
70.0,2021-11-20
70.0,2021-11-21
70.0,2021-11-22
70.0,2021-11-23
70.0,2021-11-24
70.0,2021-11-25
70.0,2021-11-26
70.0,2021-11-27
69.0,2021-11-28
69.0,2021-11-30
69.0,2021-12-01
69.0,2021-12-02
69.0,2021-12-03
69.0,2021-12-04
69.0,2021-12-05
69.0,2021-12-07
69.0,2021-12-10
69.0,2021-12-11
69.0,2021-12-12
69.0,2021-12-14
69.0,2021-12-15
69.0,2021-12-16
69.0,2021-12-20
69.0,2021-12-21
69.0,2021-12-23
72.0,2021-12-24
72.0,2021-12-25
72.0,2021-12-28
72.0,2021-12-29
72.0,2022-01-05
73.0,2022-01-06
73.0,2022-01-08
73.0,2022-01-09
74.0,2022-01-10
77.0,2022-01-11
77.0,2022-01-12
77.0,2022-01-13
77.0,2022-01-14
77.0,2022-01-15
77.0,2022-01-17
77.0,2022-01-18
77.0,2022-01-19
79.0,2022-01-20
79.0,2022-01-21
79.0,2022-01-22
79.0,2022-01-24
79.0,2022-01-25
79.0,2022-01-26
79.0,2022-01-27
79.0,2022-01-28
79.0,2022-01-29
79.0,2022-01-31
79.0,2022-02-04
79.0,2022-02-05
79.0,2022-02-06
79.0,2022-02-07
79.0,2022-02-08
79.0,2022-02-09
79.0,2022-02-10
79.0,2022-02-11
81.0,2022-02-12
81.0,2022-02-15
81.0,2022-02-16
81.0,2022-02-17
81.0,2022-02-18
81.0,2022-02-23
82.0,2022-02-24
82.0,2022-02-27
82.0,2022-02-28
82.0,2022-03-01
82.0,2022-03-03
82.0,2022-03-04
82.0,2022-03-05
83.0,2022-03-06
83.0,2022-03-08
82.0,2022-03-10
82.0,2022-03-13
82.0,2022-03-14
79.0,2022-03-15
79.0,2022-03-17
79.0,2022-03-18
79.0,2022-03-19
80.0,2022-03-20
80.0,2022-03-21
80.0,2022-03-22
81.0,2022-03-23
81.0,2022-03-24
81.0,2022-03-29
81.0,2022-03-30
81.0,2022-03-31
81.0,2022-04-01
81.0,2022-04-02
81.0,2022-04-04
81.0,2022-04-05
81.0,2022-04-06
81.0,2022-04-11
81.0,2022-04-19
79.0,2022-04-20
79.0,2022-04-21
79.0,2022-04-23
79.0,2022-04-24
79.0,2022-04-25
79.0,2022-04-26
78.0,2022-04-27
74.0,2022-05-07
74.0,2022-05-08
71.0,2022-05-09
71.0,2022-05-10
71.0,2022-05-11
71.0,2022-05-12
70.0,2022-05-13
70.0,2022-05-14
70.0,2022-05-15
70.0,2022-05-16
71.0,2022-05-17
71.0,2022-05-18
71.0,2022-05-19
71.0,2022-05-20
71.0,2022-05-21
71.0,2022-05-22
71.0,2022-05-23
71.0,2022-05-24
71.0,2022-05-25
71.0,2022-05-26
71.0,2022-05-27
71.0,2022-05-28
71.0,2022-05-29
71.0,2022-05-30
71.0,2022-05-31
71.0,2022-06-01
71.0,2022-06-02
71.0,2022-06-03
71.0,2022-06-06
71.0,2022-06-07
71.0,2022-06-08
71.0,2022-06-09
71.0,2022-06-10
71.0,2022-06-12
70.0,2022-06-13
70.0,2022-06-15
70.0,2022-06-16
70.0,2022-06-17
67.0,2022-06-18
67.0,2022-06-20
67.0,2022-06-21
70.0,2022-06-22
70.0,2022-06-23
70.0,2022-06-24
70.0,2022-06-25
70.0,2022-06-27
70.0,2022-06-28
70.0,2022-06-29
70.0,2022-06-30
70.0,2022-07-01
70.0,2022-07-02
70.0,2022-07-03
70.0,2022-07-04
70.0,2022-07-05
70.0,2022-07-06
69.0,2022-07-07
69.0,2022-07-08
69.0,2022-07-09
69.0,2022-07-11
67.0,2022-07-12
67.0,2022-07-13
67.0,2022-07-15
67.0,2022-07-16
67.0,2022-07-18
67.0,2022-07-19
67.0,2022-07-20
67.0,2022-07-22
67.0,2022-07-23
67.0,2022-07-25
67.0,2022-07-26
67.0,2022-07-27
67.0,2022-07-28
67.0,2022-07-29
67.0,2022-07-30
67.0,2022-07-31
67.0,2022-08-01
67.0,2022-08-02
67.0,2022-08-03
67.0,2022-08-04
68.0,2022-08-05
68.0,2022-08-06
68.0,2022-08-08
68.0,2022-08-09
68.0,2022-08-10
68.0,2022-08-11
69.0,2022-08-12
69.0,2022-08-13
69.0,2022-08-15
69.0,2022-08-16
69.0,2022-08-17
69.0,2022-08-18
69.0,2022-08-19
69.0,2022-08-20
71.0,2022-08-21
71.0,2022-08-22
71.0,2022-08-23
71.0,2022-08-25
71.0,2022-08-26
74.0,2022-08-27
74.0,2022-08-29
74.0,2022-08-30
74.0,2022-08-31
73.0,2022-09-01
73.0,2022-09-02
73.0,2022-09-03
73.0,2022-09-04
73.0,2022-09-05
73.0,2022-09-06
70.0,2022-09-08
70.0,2022-09-09
70.0,2022-09-10
70.0,2022-09-12
70.0,2022-09-13
69.0,2022-09-14
69.0,2022-09-15
69.0,2022-09-17
69.0,2022-09-18
74.0,2022-09-20
74.0,2022-09-21
76.0,2022-09-22
76.0,2022-09-23
76.0,2022-09-24
76.0,2022-09-27
76.0,2022-09-28
76.0,2022-09-29
76.0,2022-09-30
76.0,2022-10-01
76.0,2022-10-03
76.0,2022-10-04
76.0,2022-10-06
77.0,2022-10-07
77.0,2022-10-08
77.0,2022-10-10
77.0,2022-10-11
77.0,2022-10-12
77.0,2022-10-14
78.0,2022-10-15
78.0,2022-10-16
78.0,2022-10-17
78.0,2022-10-18
78.0,2022-10-19
78.0,2022-10-20
78.0,2022-10-21
78.0,2022-10-24
78.0,2022-10-25
78.0,2022-10-26
78.0,2022-10-27
78.0,2022-10-28
78.0,2022-10-29
78.0,2022-10-30
78.0,2022-10-31
78.0,2022-11-01
78.0,2022-11-02
79.0,2022-11-03
79.0,2022-11-04
79.0,2022-11-05
79.0,2022-11-06
79.0,2022-11-07
79.0,2022-11-08
79.0,2022-11-09
79.0,2022-11-10
79.0,2022-11-11
79.0,2022-11-12
79.0,2022-11-14
79.0,2022-11-15
79.0,2022-11-16
79.0,2022-11-17
79.0,2022-11-18
79.0,2022-11-19
79.0,2022-11-20
79.0,2022-11-21
79.0,2022-11-23
79.0,2022-11-25
79.0,2022-11-28
79.0,2022-11-29
79.0,2022-12-01
79.0,2022-12-02
79.0,2022-12-07
79.0,2022-12-08
79.0,2022-12-12
78.0,2022-12-13
78.0,2022-12-17
78.0,2022-12-20
78.0,2022-12-22
78.0,2022-12-23
77.0,2022-12-28
77.0,2022-12-30
77.0,2023-01-02
77.0,2023-01-03
77.0,2023-01-05
75.0,2023-01-06
75.0,2023-01-07
75.0,2023-01-09
75.0,2023-01-10
75.0,2023-01-12
74.0,2023-01-13
74.0,2023-01-16
74.0,2023-01-17
74.0,2023-01-18
74.0,2023-01-19
74.0,2023-01-20
74.0,2023-01-21
74.0,2023-01-23
74.0,2023-01-24
74.0,2023-01-25
74.0,2023-01-26
74.0,2023-01-27
74.0,2023-01-28
72.0,2023-01-31
72.0,2023-02-01
72.0,2023-02-02
72.0,2023-02-03
72.0,2023-02-04
72.0,2023-02-05
72.0,2023-02-06
72.0,2023-02-07
72.0,2023-02-08
72.0,2023-02-09
72.0,2023-02-11
72.0,2023-02-12
72.0,2023-02-13
72.0,2023-02-14
72.0,2023-02-16
72.0,2023-02-17
72.0,2023-02-18
72.0,2023-02-21
72.0,2023-02-22
72.0,2023-02-23
71.0,2023-02-24
71.0,2023-02-25
71.0,2023-02-26
71.0,2023-03-01
71.0,2023-03-02
71.0,2023-03-03
71.0,2023-03-04
71.0,2023-03-05
71.0,2023-03-07
71.0,2023-03-08
71.0,2023-03-09
71.0,2023-03-10
71.0,2023-03-11
70.0,2023-03-13
70.0,2023-03-14
70.0,2023-03-15
70.0,2023-03-16
70.0,2023-03-17
70.0,2023-03-18
70.0,2023-03-19
70.0,2023-03-21
70.0,2023-03-23
70.0,2023-03-24
70.0,2023-03-25
70.0,2023-03-26
70.0,2023-03-28
70.0,2023-03-29
70.0,2023-03-30
70.0,2023-03-31
70.0,2023-04-01
70.0,2023-04-03
70.0,2023-04-04
70.0,2023-04-05
70.0,2023-04-06
70.0,2023-04-07
70.0,2023-04-08
70.0,2023-04-09
70.0,2023-04-11
70.0,2023-04-17
70.0,2023-04-20
70.0,2023-04-21
70.0,2023-04-22
70.0,2023-04-24
70.0,2023-04-25
70.0,2023-04-26
70.0,2023-04-27
70.0,2023-04-29
70.0,2023-04-30
70.0,2023-05-02
70.0,2023-05-03
69.0,2023-05-04
69.0,2023-05-05
69.0,2023-05-06
68.0,2023-05-10
68.0,2023-05-11
67.0,2023-05-12
67.0,2023-05-13
67.0,2023-05-16
67.0,2023-05-17
67.0,2023-05-18
67.0,2023-05-22
66.0,2023-05-24
66.0,2023-05-25
