Date,Price,Open,High,Low,Vol.,Change %
11/25/2022,"1,620.84","1,622.39","1,622.89","1,615.95",11.01B,-0.25%
11/24/2022,"1,624.96","1,628.79","1,630.08","1,621.57",13.45B,0.03%
11/23/2022,"1,624.40","1,619.87","1,626.22","1,617.56",15.65B,0.56%
11/22/2022,"1,615.33","1,620.34","1,629.22","1,612.25",18.10B,-0.22%
11/21/2022,"1,618.86","1,613.43","1,623.30","1,611.45",14.85B,0.09%
11/18/2022,"1,617.38","1,615.58","1,622.03","1,610.75",17.43B,0.15%
11/17/2022,"1,614.95","1,617.65","1,619.05","1,611.28",17.07B,-0.31%
11/16/2022,"1,619.98","1,628.74","1,629.06","1,616.82",17.49B,-0.58%
11/15/2022,"1,629.38","1,625.58","1,632.42","1,623.33",20.62B,0.37%
11/14/2022,"1,623.38","1,630.46","1,633.76","1,618.28",23.03B,-0.85%
11/11/2022,"1,637.29","1,635.36","1,640.03","1,629.57",24.39B,1.12%
11/10/2022,"1,619.23","1,614.01","1,623.97","1,611.17",18.48B,-0.20%
11/09/2022,"1,622.45","1,633.58","1,635.37","1,619.69",19.96B,-0.62%
11/08/2022,"1,632.61","1,628.19","1,635.87","1,627.93",17.23B,0.56%
11/07/2022,"1,623.57","1,632.19","1,634.65","1,621.10",23.79B,-0.17%
11/04/2022,"1,626.32","1,628.13","1,635.93","1,626.19",23.47B,0.04%
11/03/2022,"1,625.62","1,621.87","1,628.78","1,619.99",18.42B,0.04%
11/02/2022,"1,625.02","1,627.92","1,630.56","1,622.30",18.44B,-0.04%
11/01/2022,"1,625.73","1,614.23","1,628.29","1,613.96",22.90B,1.05%
10/31/2022,"1,608.76","1,614.66","1,619.08","1,605.76",17.71B,0.17%
10/28/2022,"1,606.07","1,603.44","1,607.75","1,598.18",20.33B,0.23%
10/27/2022,"1,602.33","1,600.40","1,605.76","1,592.49",20.87B,0.37%
10/26/2022,"1,596.46","1,602.62","1,604.99","1,593.79",19.36B,-0.26%
10/25/2022,"1,600.66","1,598.29","1,602.88","1,593.68",16.99B,0.59%
10/21/2022,"1,591.32","1,592.72","1,597.93","1,588.01",16.49B,-0.09%
10/20/2022,"1,592.73","1,585.12","1,595.57","1,579.78",19.58B,0.25%
10/19/2022,"1,588.72","1,592.62","1,596.03","1,583.81",15.21B,-0.10%
10/18/2022,"1,590.36","1,577.75","1,594.68","1,576.62",17.64B,1.21%
10/17/2022,"1,571.40","1,563.05","1,573.67","1,553.80",15.21B,0.68%
10/12/2022,"1,560.78","1,564.42","1,567.03","1,557.74",17.41B,-0.12%
10/11/2022,"1,562.68","1,567.37","1,569.13","1,559.22",15.98B,-0.50%
10/10/2022,"1,570.57","1,570.38","1,573.41","1,562.35",14.89B,-0.58%
10/07/2022,"1,579.66","1,590.36","1,592.12","1,572.52",15.89B,-0.60%
10/06/2022,"1,589.18","1,586.36","1,597.80","1,586.16",17.37B,0.56%
10/05/2022,"1,580.27","1,586.58","1,590.34","1,576.71",18.90B,0.14%
10/04/2022,"1,578.00","1,576.93","1,584.57","1,567.48",18.04B,1.28%
10/03/2022,"1,558.05","1,586.51","1,592.72","1,556.73",20.78B,-1.98%
09/30/2022,"1,589.51","1,589.98","1,597.44","1,584.22",18.37B,-0.18%
09/29/2022,"1,592.37","1,607.84","1,617.23","1,589.79",23.19B,-0.43%
09/28/2022,"1,599.23","1,600.94","1,606.23","1,595.76",19.58B,-0.70%
09/27/2022,"1,610.58","1,622.74","1,627.30","1,610.32",22.79B,-0.66%
09/26/2022,"1,621.25","1,626.61","1,627.95","1,615.32",17.65B,-0.64%
09/23/2022,"1,631.71","1,646.02","1,647.34","1,631.50",15.92B,-0.83%
09/22/2022,"1,645.29","1,631.01","1,649.29","1,627.34",18.80B,0.72%
09/21/2022,"1,633.45","1,640.50","1,642.82","1,633.41",17.74B,-0.31%
09/20/2022,"1,638.59","1,640.62","1,645.15","1,636.20",18.34B,0.43%
09/19/2022,"1,631.57","1,632.61","1,638.68","1,628.96",17.22B,0.07%
09/16/2022,"1,630.40","1,639.15","1,642.73","1,629.31",20.85B,-0.73%
09/15/2022,"1,642.33","1,660.14","1,661.04","1,642.07",21.67B,-0.86%
09/14/2022,"1,656.58","1,643.39","1,660.42","1,642.53",18.85B,-0.27%
09/13/2022,"1,661.09","1,669.58","1,671.19","1,660.81",18.76B,-0.28%
09/12/2022,"1,665.74","1,661.39","1,672.64","1,660.83",14.79B,0.67%
09/09/2022,"1,654.62","1,646.64","1,658.96","1,641.82",18.18B,0.89%
09/08/2022,"1,640.00","1,645.75","1,649.17","1,636.33",21.33B,0.00%
09/07/2022,"1,639.92","1,631.49","1,641.25","1,628.80",21.69B,0.37%
09/06/2022,"1,633.87","1,626.62","1,636.70","1,624.92",20.48B,0.73%
09/05/2022,"1,622.00","1,622.38","1,622.72","1,611.86",19.77B,-0.01%
09/02/2022,"1,622.15","1,622.86","1,626.48","1,611.19",21.53B,0.01%
09/01/2022,"1,621.95","1,636.52","1,640.65","1,617.75",24.51B,-1.04%
08/31/2022,"1,638.93","1,632.92","1,644.09","1,630.01",26.63B,-0.03%
08/30/2022,"1,639.45","1,631.17","1,641.51","1,627.71",20.98B,0.79%
08/29/2022,"1,626.52","1,622.43","1,634.63","1,619.58",20.46B,-1.11%
08/26/2022,"1,644.78","1,646.18","1,650.71","1,639.04",20.05B,0.08%
08/25/2022,"1,643.52","1,638.51","1,646.55","1,636.91",19.63B,0.73%
08/24/2022,"1,631.55","1,632.97","1,638.75","1,624.60",23.64B,-0.12%
08/23/2022,"1,633.57","1,613.20","1,635.78","1,609.81",19.30B,1.10%
08/22/2022,"1,615.82","1,623.72","1,628.51","1,612.41",15.76B,-0.62%
08/19/2022,"1,625.92","1,635.35","1,638.75","1,623.69",19.30B,-0.62%
08/18/2022,"1,636.07","1,638.74","1,641.31","1,630.99",16.54B,-0.22%
08/17/2022,"1,639.72","1,633.65","1,642.17","1,632.26",18.87B,0.60%
08/16/2022,"1,629.95","1,629.44","1,632.86","1,624.92",19.88B,0.29%
08/15/2022,"1,625.25","1,621.20","1,630.12","1,617.00",17.41B,0.18%
08/11/2022,"1,622.26","1,624.75","1,626.28","1,612.61",20.05B,0.31%
08/10/2022,"1,617.21","1,616.40","1,618.07","1,606.09",17.86B,-0.10%
08/09/2022,"1,618.80","1,608.96","1,620.98","1,606.48",18.47B,0.62%
08/08/2022,"1,608.87","1,602.81","1,608.88","1,589.62",18.26B,0.49%
08/05/2022,"1,601.09","1,602.04","1,603.86","1,595.89",15.87B,0.15%
08/04/2022,"1,598.75","1,599.96","1,604.85","1,592.28",19.75B,0.25%
08/03/2022,"1,594.73","1,590.52","1,597.74","1,586.49",16.14B,0.35%
08/02/2022,"1,589.16","1,588.76","1,598.54","1,585.71",18.21B,-0.26%
08/01/2022,"1,593.24","1,584.93","1,596.66","1,581.23",20.09B,1.07%
07/27/2022,"1,576.41","1,557.11","1,576.78","1,555.64",17.37B,1.50%
07/26/2022,"1,553.18","1,563.16","1,563.84","1,551.96",15.76B,-0.46%
